val_loss,val_acc,epoch,step,train_loss,train_acc,test_loss,test_acc
0.14179567992687225,0.9497663378715515,116,43757,,,,
,,116,43757,0.1596629023551941,0.9423028826713562,,
0.23786896467208862,0.9281542301177979,117,44131,,,,
,,117,44131,0.1744716763496399,0.9378710389137268,,
0.15848605334758759,0.9445093274116516,118,44505,,,,
,,118,44505,0.17078976333141327,0.9382055401802063,,
0.16513994336128235,0.9375,119,44879,,,,
,,119,44879,0.1702289581298828,0.9387908577919006,,
0.13502641022205353,0.947429895401001,120,45253,,,,
,,120,45253,0.16212141513824463,0.9418847560882568,,
0.12969659268856049,0.9509345889091492,121,45627,,,,
,,121,45627,0.18241845071315765,0.9361150860786438,,
0.13027040660381317,0.9596962332725525,122,46001,,,,
,,122,46001,0.16717135906219482,0.9385400414466858,,
0.16209891438484192,0.9456775784492493,123,46375,,,,
,,123,46375,0.17141585052013397,0.9384564161300659,,
0.13611631095409393,0.9561915993690491,124,46749,,,,
,,124,46749,0.1643090546131134,0.9402959942817688,,
0.1287933737039566,0.952102780342102,125,47123,,,,
,,125,47123,0.16453765332698822,0.9419683814048767,,
0.13967883586883545,0.9485981464385986,126,47497,,,,
,,126,47497,0.1616937220096588,0.940964937210083,,
0.14713054895401,0.9462617039680481,127,47871,,,,
,,127,47871,0.1629866659641266,0.9426373243331909,,
0.12964610755443573,0.9556074738502502,128,48245,,,,
,,128,48245,0.17156994342803955,0.9356133341789246,,
0.14306171238422394,0.9509345889091492,129,48619,,,,
,,129,48619,0.16153505444526672,0.9403796195983887,,
0.1412554532289505,0.9509345889091492,130,48993,,,,
,,130,48993,0.16751769185066223,0.9391253590583801,,
0.14770114421844482,0.952102780342102,131,49367,,,,
,,131,49367,0.1695382446050644,0.9389581084251404,,
0.15832574665546417,0.9462617039680481,132,49741,,,,
,,132,49741,0.16435623168945312,0.942470133304596,,
0.1413864940404892,0.9491822719573975,133,50115,,,,
,,133,50115,0.16935259103775024,0.9351116418838501,,
0.14930030703544617,0.947429895401001,134,50489,,,,
,,134,50489,0.17556844651699066,0.9377874135971069,,
0.17340703308582306,0.9462617039680481,135,50863,,,,
,,135,50863,0.16673800349235535,0.9391253590583801,,
0.14606016874313354,0.9509345889091492,136,51237,,,,
,,136,51237,0.1646057814359665,0.940045177936554,,
0.12045586109161377,0.957359790802002,137,51611,,,,
,,137,51611,0.15668395161628723,0.943389892578125,,
0.15037845075130463,0.9491822719573975,138,51985,,,,
,,138,51985,0.1736663579940796,0.9378710389137268,,
0.17920361459255219,0.9386682510375977,139,52359,,,,
,,139,52359,0.1662515252828598,0.9388744831085205,,
0.1354048103094101,0.9526869058609009,140,52733,,,,
,,140,52733,0.16886508464813232,0.938372790813446,,
0.1659228652715683,0.9421728849411011,141,53107,,,,
,,141,53107,0.17142526805400848,0.9377874135971069,,
0.14827179908752441,0.9503504633903503,142,53481,,,,
,,142,53481,0.16593916714191437,0.9398779273033142,,
0.13585743308067322,0.9497663378715515,143,53855,,,,
,,143,53855,0.1707257777452469,0.9402959942817688,,
0.13888660073280334,0.9485981464385986,144,54229,,,,
,,144,54229,0.16073624789714813,0.9417175054550171,,
0.1517639011144638,0.9427570104598999,145,54603,,,,
,,145,54603,0.16564781963825226,0.9421356320381165,,
0.12808406352996826,0.9591121673583984,146,54977,,,,
,,146,54977,0.16133271157741547,0.941801130771637,,
0.17291830480098724,0.9398364424705505,147,55351,,,,
,,147,55351,0.16947203874588013,0.9402959942817688,,
0.1430729627609253,0.9433411359786987,148,55725,,,,
,,148,55725,0.16622251272201538,0.9394598007202148,,
0.13459216058254242,0.952102780342102,149,56099,,,,
,,149,56099,0.16956715285778046,0.939208984375,,
0.14788316190242767,0.947429895401001,150,56473,,,,
,,150,56473,0.16171526908874512,0.943389892578125,,
0.1581331342458725,0.9468457698822021,151,56847,,,,
,,151,56847,0.16163308918476105,0.9420520067214966,,
0.16572192311286926,0.9439252614974976,152,57221,,,,
,,152,57221,0.17424771189689636,0.9403796195983887,,
0.15956158936023712,0.9468457698822021,153,57595,,,,
,,153,57595,0.1567157804965973,0.9443097114562988,,
,,154,57771,,,0.1832960546016693,0.9351066946983337
,,154,57771,,,0.1832960546016693,0.9351066946983337
0.15194454789161682,0.951518714427948,154,58144,,,,
,,154,58144,0.152337908744812,0.9484070539474487,,
0.14266662299633026,0.9532710313796997,155,58518,,,,
,,155,58518,0.14209209382534027,0.9494941234588623,,
0.15495452284812927,0.951518714427948,156,58892,,,,
,,156,58892,0.1444704830646515,0.9485743045806885,,
0.13197959959506989,0.9561915993690491,157,59266,,,,
,,157,59266,0.13072620332241058,0.9508320093154907,,
0.14142493903636932,0.952102780342102,158,59640,,,,
,,158,59640,0.13897806406021118,0.9493268728256226,,
0.13916516304016113,0.9538551568984985,159,60014,,,,
,,159,60014,0.1394781768321991,0.9497449398040771,,
0.13342244923114777,0.9544392228126526,160,60388,,,,
,,160,60388,0.13577376306056976,0.9516682028770447,,
0.13816535472869873,0.9544392228126526,161,60762,,,,
,,161,60762,0.13162824511528015,0.9535914659500122,,
0.13864712417125702,0.9544392228126526,162,61136,,,,
,,162,61136,0.13357581198215485,0.9524207711219788,,
0.1370663046836853,0.9550233483314514,163,61510,,,,
,,163,61510,0.12829875946044922,0.9531733393669128,,
0.13582590222358704,0.9544392228126526,164,61884,,,,
,,164,61884,0.1311037540435791,0.9521698951721191,,
0.13702771067619324,0.9567757248878479,165,62258,,,,
,,165,62258,0.1292893886566162,0.9532569646835327,,
0.13321618735790253,0.9556074738502502,166,62632,,,,
,,166,62632,0.13207213580608368,0.9531733393669128,,
0.13708338141441345,0.9556074738502502,167,63006,,,,
,,167,63006,0.12789160013198853,0.953089714050293,,
0.13061775267124176,0.9538551568984985,168,63380,,,,
,,168,63380,0.12863682210445404,0.9526716470718384,,
0.12626756727695465,0.9579439163208008,169,63754,,,,
,,169,63754,0.12781859934329987,0.9525043964385986,,
0.13653719425201416,0.9532710313796997,170,64128,,,,
,,170,64128,0.12760013341903687,0.9541767835617065,,
0.12936381995677948,0.9585280418395996,171,64502,,,,
,,171,64502,0.1271071881055832,0.9521698951721191,,
0.12888991832733154,0.9579439163208008,172,64876,,,,
,,172,64876,0.12316157668828964,0.955514669418335,,
0.12531223893165588,0.9585280418395996,173,65250,,,,
,,173,65250,0.12448494136333466,0.9525043964385986,,
0.13123475015163422,0.9585280418395996,174,65624,,,,
,,174,65624,0.1273585557937622,0.9552637934684753,,
0.12445583194494247,0.9579439163208008,175,65998,,,,
,,175,65998,0.12385008484125137,0.9543440341949463,,
0.12342317402362823,0.9596962332725525,176,66372,,,,
,,176,66372,0.12767279148101807,0.9553474187850952,,
0.12650179862976074,0.9591121673583984,177,66746,,,,
,,177,66746,0.12251823395490646,0.9571870565414429,,
0.13427917659282684,0.9544392228126526,178,67120,,,,
,,178,67120,0.1288842260837555,0.9544275999069214,,
0.12796959280967712,0.9579439163208008,179,67494,,,,
,,179,67494,0.12674632668495178,0.9544275999069214,,
